C,#,Producto,Sec
6,2,Aceite de girasol 900 cc - Zanoni,ALM
6,2,Aceite de oliva organico extra virgen 500 cc - Pronoar,ALM
6,3,Jugo de Limón 500 cc - Zanoni,ALM
6,2,Garbanzos en lata remojados 350 g - Del Agricultor,ALM
6,2,Arroz pulido largo fino 00000 - Sabroz,ALM
6,1,Harina 0000 1 kg - Chacabuco,ALM
6,2,Té en saquitos 25 u - La Virginia,ALM
6,2,Yerba mate 25 u - La Hoja,ALM
6,1,Mix de frutos secos 250 g - Pronoar,ALM
6,1,Provoletas 2 u - Lácteos La Resistencia,FRE
6,1,Champiniones 250 g - Misión Verde,FYV
6,1,Tomate cherry 1 k - Misión Verde,FYV
6,1,Jabon cremoso x 3 u x 125 g - Nivea,LIM
6,1,Dentífrico 90 g - Colgate,LIM
6,2,Yerba despalada 1/2 k - Titrayju,PCL
6,4,Leche largavida Descremada 1 L - Milkaut,PCL
6,4,Leche largavida Entera 1 L - Milkaut,PCL
9,2,Aceite de girasol 900 cc - Zanoni,ALM
9,1,Vinagre manzana 500cc - Halconero,ALM
9,4,Vinagre alcohol 500 cc - Halconero,ALM
9,2,Aceite de oliva organico extra virgen 500 cc - Pronoar,ALM
9,3,Puré de tomate 530 g - Mora,ALM
9,1,Palmito enteros 400 g - Bahía,ALM
9,3,Atún en lata desmenuzado 170 g - Bahía,ALM
9,1,Aceitunas verdes nº 0 x 360 gr - Buena Cosecha,ALM
9,1,Arroz largo fino 1 kg - Lucchetti,ALM
9,3,Fideos tallarines secos 500 g - Don Pepe,ALM
9,3,Fideos tirabuzon secos 500 g - Don Pepe,ALM
9,1,Fideos mostachol secos 500 g - Don Pepe,ALM
9,1,Bizcochos agridulces 200 g - 9 de Oro,ALM
9,2,Bizcochos salados 200 g - 9 de Oro,ALM
9,4,Galletitas Pepas 400 g - Terepín,ALM
9,3,Café de filtro 250 g - La Virginia,ALM
9,1,Salsa Golf 250 g - Cada Día,ALM
9,1,Yerba mate 25 u - La Hoja,ALM
9,1,Manies pelados salados 250 g - Pronoar,ALM
9,1,Mix de frutos secos 250 g - Pronoar,ALM
9,1,Mani con cascara 500 g - Pronoar,ALM
9,2,Galletitas crackers de agua 300 g - Paseo,FRA
9,1,Tostadas de mesa 200 g - Marinozzi,FRA
9,2,Galletitas dulces con avena 180 g - Marinozzi,FRA
9,3,Barrita de arroz con baño chocolate 6 u - Crowie,FRA
9,2,Barrita de arroz con baño blanco 6 u - Crowie,FRA
9,1,Barrita de arroz con baño Marroc 6 u - Crowie,FRA
9,3,Familiar Salvado 600 g - Don Yeyo,FRA
9,2,Pan molde de Salvado con semillas 800 g (guardar en lugar fresco) - Alimentos con Amor,FRA
9,1,Pan Agroecológico con semillas - Coco Eco,FRA
9,2,Prepizza 2 u - Mil Hojas,FRE
9,1,Vacio - Frigorifico Adalio,FRE
9,1,Brazuelo sin hueso entero - Frigorifico Adalio,FRE
9,1,Pechito de cerdo - Frigorifico Giusti,FRE
9,7,Queso cremoso 500 g - Lácteos Rosario,FRE
9,1,Queso crema 290 g - Milkaut,FRE
9,3,Canasta de Quesos - Lácteos La Resistencia,FRE
9,1,Canasta de Quesos familiar - Lácteos La Resistencia,FRE
9,2,Provoletas 2 u - Lácteos La Resistencia,FRE
9,1,Queso saborizado provenzal 350 g - Lácteos La Resistencia,FRE
9,1,Queso saborizado tradicional 350 g - Lácteos La Resistencia,FRE
9,1,Queso barra 400 g - Lácteos La Resistencia,FRE
9,1,Milanesas de soja 4 u - Shanti,FRE
9,2,Ravioles de verdura 1 k - Mil Hojas,FRE
9,1,Ravioles ricota 1 K - Pastas Garcia,FRE
9,2,Crema de leche 200 g - La Cabaña,FRE
9,6,Tapas de tarta 2 u - Don Sixto,FRE
9,4,Yoghurt pote vainilla entero 200 g - Milkaut,FRE
9,1,Bandeja 24 Sandwiches simples JyQ - Alimentos con Amor,FRE
9,1,Sorrentinos de JYQ 1/2 k - Pastas Garcia,FRZ
9,2,Costeletitas de cerdo 900 g - Frigorifico Giusti,FRZ
9,1,Medallones de Mung quinoa jengibre cúrcuma - PRANA,FRZ
9,1,Hamburguesas Arveja y espinaca - Souno,FRZ
9,1,"Medallones de merluza, espinaca y queso - Solimeno",FRZ
9,2,Canasta de frutas chica (4 productos) - Misión Verde,FYV
9,5,Canasta de verdura chica (9 productos) - Misión Verde,FYV
