"Codigo"|"Estado"|"Cod. Proveedor"|"Proveedor"|"Nombre"|"Descripcion"|"Marca"|"Precio final"|"Precio super"|"Stock"
"ALM03002"|"oculto"|"42"|"Felix Alberto Romero"|"Aceto balsámico 250 cc"|"Premium en vidrio"|"Albardón"|"80.5"|"97.22"|""
"ALM04001"|"activo"|"3"|"Distribución Rosario"|"Sal fina 500 g"|""|"Celusal"|"21.45"|"26.24"|""
"ALM04002"|"activo"|"3"|"Distribución Rosario"|"Sal gruesa 1 kg"|""|"Celusal"|"26.45"|"32.64"|""
"ALM05001"|"activo"|"5"|"La Virginia"|"Condimento orégano 50 g"|""|"Alicante"|"51.91"|"72.17"|""
"ALM05002"|"activo"|"5"|"La Virginia"|"Condimento ají 50 g"|""|"Alicante"|"27.12"|"30.33"|""
"ALM05003"|"activo"|"5"|"La Virginia"|"Condimento pimentón 25 g"|""|"Alicante"|"18.38"|"27.06"|""
"ALM05004"|"activo"|"5"|"La Virginia"|"Condimento pimienta negra 25 g"|""|"Alicante"|"17.88"|"21.12"|""
"ALM05005"|"activo"|"5"|"La Virginia"|"Condimento provenzal 50 g"|""|"Alicante"|"41.14"|"56.41"|""
"ALM05006"|"oculto"|"5"|"La Virginia"|"Condimento comino 25gr."|""|"Alicante"|"14.35"|"15.0"|""
"ALM06005"|"activo"|"5"|"La Virginia"|"Caldos sabor verduras 4 u"|""|"Alicante"|"23.78"|"34.84"|""
"ALM06006"|"oculto"|"5"|"La Virginia"|"#N/A"|"#N/A"|"#N/A"|"0.0"|"0.0"|"0"
"ALM06007"|"oculto"|"5"|"La Virginia"|"Caldos sabor carne 4 u"|""|"Alicante"|"20.1"|"35.38"|""
"ALM31002"|"oculto"|"4"|"Distribuidora Parodi"|"Mayonesa 500gr."|""|"Hellmann's"|"0.0"|"0.0"|""
"ALM46001"|"activo"|"4"|"Distribuidora Parodi"|"Mostaza 250 g"|""|"Savora"|"35.92"|"40.27"|""
"ALM47001"|"activo"|"4"|"Distribuidora Parodi"|"Ketchup 250 g"|""|"Hellmann's"|"48.53"|"55.79"|""
"ALM07001"|"oculto"|"3"|"Distribución Rosario"|"Azúcar 1 kg"|""|"Dolce"|"29.96"|"35.77"|""
"ALM08001"|"oculto"|"5"|"La Virginia"|"Café instantáneo 170 g"|""|"La Virginia"|"86.93"|"0.0"|""
"ALM08002"|"activo"|"5"|"La Virginia"|"Café de filtro 250 g"|""|"La Virginia"|"71.87"|"87.59"|""
"ALM09001"|"oculto"|"5"|"La Virginia"|"Té en saquitos 25 u"|""|"La Virginia"|"22.58"|"26.62"|""
"ALM09002"|"oculto"|"5"|"La Virginia"|"#N/A"|"#N/A"|"#N/A"|"0.0"|"0.0"|"0"
"ALM10001"|"oculto"|"5"|"La Virginia"|"#N/A"|"#N/A"|"#N/A"|"0.0"|"0.0"|"0"
